sz.000667,sz.000608,sz.000002,sz.000668,sz.000402,sz.000691,sz.000560,sz.000573,
0.012142146,0.00532245,-0.01802366,0.023675726,0.001604645,0.00300092,0.053089918,0.009618468,
-9.03E-05,0.001255625,0.027301034,-0.001875984,-0.001782317,-0.006253598,0.059315671,-0.001692834,
0.01501547,-0.002778442,-0.011093233,0.01004688,-0.002632643,0.010762443,0.044769543,-0.004905679,
-0.00306646,-0.002785688,0.002049225,0.012896743,0.015202848,0.013713411,-0.04302408,-0.00492898,
-0.003075345,-0.02036054,0.006741498,-0.00999703,-0.020173952,0.013525464,-0.028127653,0.022600168,
-9.03E-05,0.019220075,-0.020022416,-0.001267433,-0.018877631,-0.003075345,-0.010667193,-0.012768558,
-9.03E-05,0.00938199,-0.011773524,-0.007750847,0.002520696,0.010388772,-0.047709318,-0.014536498,
-0.003084282,0.001250213,-0.005782039,-0.005434688,0.000777786,-0.019349529,0.008072995,0.003167059,
0.002912733,0.002587106,0.002551738,0.008267939,-0.007895994,-9.03E-05,-0.013248165,-0.013077283,
-0.003084282,-0.008100951,0.007814869,0.002277995,0.002532107,0.0074626,-0.01034668,0.001554467,
0.005915736,-0.037775331,-0.006626218,0.005225737,-0.014039703,-0.00158952,0.037215429,-0.016510631,
-0.015015643,0.005504136,-0.034300796,-0.025942209,-0.029267989,-0.024114294,-0.071019341,-0.016784761,
0.039303669,0.009645474,-0.003269198,0.0342885,0.016303173,0.03990973,0.003135536,0.01179428,
-0.008836626,0.010929014,0.003098796,0.012737718,0.007974246,0.00286831,0.013843278,0.001587582,
-0.005972623,0.005359321,-0.007356392,0.01084813,-0.004534715,0.013184066,0.044307193,-9.03E-05,
0.00582689,0.016169893,0.00265447,0.008451871,0.011516873,0.017376979,-0.013248165,0.008284939,
-0.005972623,0.00390973,0.040968124,0.001603688,0.031683781,0.00277096,-0.016500526,-0.008395918,
0.014702629,0.005221815,-0.008854512,0.0078015,0.032416146,-0.004369871,0.023893046,0.006609898,
-0.003005722,-0.004053282,0.025992842,0.001028298,-0.014174777,-0.001522935,-0.00518192,-0.013401418,
-0.01763413,-0.00406905,0.001202276,-0.001766248,0.002430738,0.015691653,-0.012372767,-0.003462951,
-0.00306646,-0.004084944,-0.006544659,0.006624895,-0.005957831,0.008384306,0.009236155,-0.00685846,
0.011850029,0.013278714,0.004673697,-0.005648914,0.016773136,0.00131029,-0.009330516,0.015241928,
0.002859583,-0.002728792,0.034823523,-0.002326156,-0.013357268,0.013895744,0.006127347,0.004943287,
-0.003031446,-0.011995032,0.005939017,-0.00961408,0.000750066,0.03990973,0.099806743,-9.03E-05,
-9.03E-05,0.00660317,-0.005227256,0.001606563,0.01502308,-0.019984169,0.092606359,0.006587526,
-9.03E-05,-0.016047717,-0.000520563,-9.03E-05,-0.019941386,0.01208835,0.048752918,-0.005065394,
0.008759288,-0.014955135,-0.015156994,-0.005172145,-0.001778034,-0.014796152,-0.027868048,-0.001756937,
-0.005938223,0.001281472,0.003406234,0.003314951,-0.010233973,-9.03E-05,0.016716453,-0.003429168,
-0.003031446,0.005389182,0.034752935,0.018009278,0.012719294,0.001266582,-0.014966303,0.003259814,
-9.03E-05,-9.03E-05,0.001593232,-0.006201381,-0.010208314,0.01887992,-0.020224498,0.014934772,
0.020558698,-0.006902259,0.091086201,-0.016859415,0.022056238,-0.013388142,-0.008651914,0.001554467,
-0.011650964,-0.008320723,-0.007021344,0.000478235,0.01990973,0.009343692,-0.044131721,0.011403983,
-9.03E-05,-0.01668778,-0.019865376,-0.002362997,-0.015613146,0.045303588,0.008039811,0.00477986,
-0.0088622,0.0013162,-0.00088141,-0.013757696,-0.01502803,0.036946767,0.02679145,-0.011398832,
0.005809435,-0.004303753,0.019703871,0.012611809,-0.00177519,-0.009942487,-0.014051876,0.009713652,
0.008707384,0.006961916,0.069785506,-0.001230521,0.02269454,0.006128635,-0.016019474,-0.001708393,
0.011537637,0.099349506,0.063044708,-0.008651914,0.017236463,-0.001326364,0.007103975,0.030703895,
-0.002963833,-0.006459697,-0.043093683,-0.004120207,0.00964209,-0.013704131,0.026695444,-0.004807251,
0.028728174,0.030678961,0.025943967,0.003955973,0.042480011,-0.003854385,-0.017481574,0.02676597,
0.00271085,-0.019990768,-0.001480607,0.000485435,0.012236387,-0.001349716,-0.02309912,-9.03E-05,
-0.028023231,-0.052120727,-0.011576521,-0.001241018,-0.03205374,-0.035399223,-0.001901864,-0.035474885,
